,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
0,أبو بكر الصديق خليفة رسول الله,عبد الستار الشيخ,672,دار القلم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/UZ-abu-bakr-as-siddiq-abd-as-sattar-al-sheikh.html
1,الإيمان بالقضاء والقدر,محمد بن إبراهيم الحمد,386,دار الحضارة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/al-iman-bi-al-qada-wa-al-qadarmuhammad-ibrahim-al-hamad.html
2,فتح القدوس السلام بشرح نواقض الإسلام,الشيخ عبيد الجابري,112,الميراث النبوي,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/fath-al-quddus-as-salam-bi-shah-nawaqid-al-islam-ubayd-al-jabiri.html
3,هداية المرتاب وغاية الحفاظ والطلاب في تبيين متشابه الكتاب,الإمام أبو الحسن السخاوي,175,دار الغوثاني,غلاف,17x24cm,In Majority or Totality,عبد القادر الخطيب الحسني,,,,https://www.sifatusafwa.com/ar/clearance-bargain/hidayah-al-murtab-poem-on-ayat-mutashabbih-as-sakhawi.html
4,القول المفيد في أدلة التوحيد,الشيخ محمد عبد الوهاب الوصابي,,,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/l-qawl-al-mufeed-fi-adillat-at-tawheed-al-wasaabee.html
5,منهج السالكين و توضيح الفقه في الدين,الشيخ عبد الرحمن السعدي,239,دار ابن الجوزي,غلاف,,,,الشيخ عبد الله بن عقيل و الشيخ عبد الله البسام,,,https://www.sifatusafwa.com/ar/clearance-bargain/manhaj-as-salikin-wa-tawdih-al-fiqh-fi-ad-din-shaykh-as-sa-di.html
6,من أخبار السلف الصالح,أبو يحيى زكريا بن غلام قادر,460,مكتبة الرشد,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/min-akhbar-as-salaf-as-alih.html
7,محاضرات في العقيدة والدعوة,الشيخ صالح الفوزان,1651,دار العاصمة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/clearance-bargain/muhadarat-fi-al-aqeedah-wa-a-da-wah-70-lectures-by-al-fawzan.html
8,نبذة يسيرة من حياة أحد أعلام الجزيرة العلامة الوادعي,محمد بن علي الصومعي,,دار الأثار,غلاف,17x24cm,,,,,,https://www.sifatusafwa.com/ar/clearance-bargain/nubdha-yasira-min-hayat-al-allamah-al-wadi-iy-muhammad-sawmi-i.html
9,سفيان الثوري,محمد بن مطر الزهراني,122,دار طيبة الخضراء,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/clearance-bargain/sufyan-ath-thawri-muhammad-matr-az-zahrani.html
10,وصل القراء البررة بإسناد القراءات الأربع الزائدة على العشر,د. علي بن سعد الغامدي,102,دار الغوثاني,غلاف,17x24cm,,,,,,https://www.sifatusafwa.com/ar/clearance-bargain/wasl-al-qurraa-al-bararah-bi-isnad-al-qira-at-al-arba-abbas-awd-allah.html
11,,,,دار المعرفة,,17x24cm,,,,30,,https://www.sifatusafwa.com/ar/mushaf-quran/briefcase-colour-tajweed-30-juz-in-individual-booklet-hafs.html
12,,,,دار المعرفة,,17x24cm,,,,,,https://www.sifatusafwa.com/ar/mushaf-quran/quran-with-tajweed-rules-hafs-gorgeous-silver-cover.html
13,,,,دار المعرفة,,17x24cm,,,,,,https://www.sifatusafwa.com/ar/mushaf-quran/quran-with-tajweed-rules-hafs-names-of-allah-cover.html
14,تقريرات الأئمة الأربعة وأئمة مذاهبهم لعقيدة أهل السنة والجماعة,سعود عبدالعزيز الخلف,1604,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,2,,https://www.sifatusafwa.com/ar/أبحاث-و-رسائل-جامعية/taqrirat-al-aimmah-al-arba-a-li-aqidah-ahl-as-sunnah-2-volumes.html
15,الحواشي الأزهرية في حل ألفاظ المقدمة الجزرية,خالد بن عبد الله الأزهري,136,دار الغوثاني,غلاف,17x24cm,In Part,محمد بركات,العلامة محيي الدين الكردي,,,https://www.sifatusafwa.com/ar/أحكام-التجويد/al-hawashi-al-azhariyyah-fi-hal-alfadh-al-jazariyyah-khalid-al-azhari-905h.html
16,الشرح الوجيز على المقدمة الجزرية,أ. د. غانم قدوري الحمد,174,معهد الإمام الشاطبي,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/أحكام-التجويد/ash-sharh-al-wajiz-ala-al-muqaddimah-al-jazariyyah-harakat.html
