;description;lien
0;"Le livre “Al-Iqna’a fi Masa’il al-Ijma’a” de l’érudit du Hadith Abu al-Hassan Ali ibn Mohammed ibn Abd al-Malik al-Kitami al-Hamiri al-Fassi, communément appelé Ibn al-Qatan (m. 628 H.), est un livre précieux, représentant le travail acharné et les efforts soutenus de son auteur pour présenter une compilation importante des questions jurisprudentielles jouissant d’une unanimité ou d’un consensus parmi les érudits et les juristes islamiques.
Ainsi, “Al-Iqna’a fi Masa’il al-Ijma’a” devient un livre de référence, tant pour les experts que pour les débutants et les personnes qui ne sont pas qualifiées pour traiter les questions différentielles et produire des jugements factuels.
Le présent livre est divisé en plusieurs chapitres ou volumes : un chapitre sur la foi, un sur la prière, un autre sur la Zakat etc.
Excellente édition avec un Tahqiq sérieux et des annotations très importantes dans lesquelles le lecteur pourra trouver les références des avis cités dans les livres de chaque école.
";https://www.sifatusafwa.com/fr/accueil/al-iqna-fi-masa-il-al-ijma-ibn-qattan-al-fassi.html
1;"Cet ouvrage d'Ibn Abi Dounia, parle des djinns et des signes de prophétie propres aux djinns, certaines histoires y sont mentionnées.
";https://www.sifatusafwa.com/fr/accueil/kitab-hawatif-al-jinan-ibn-abi-dounia.html
2;"Explication par l'Imam as-Safarini du poème sur les grands péchés de l'imam al-Hajawi.
Cette édition est le fruit d'une thèse de magistère de l’université de Médine. Il y a donc une recherche introductive sur l'auteur et le sujet traité, et des annotations sur le texte et sur les hadiths et leurs authenticités.
";https://www.sifatusafwa.com/fr/actes-blamables/ad-dakhaair-li-charh-mandhoumah-al-kabaair-imam-safarini.html
3;"Risalah du Cheikh Abd-As-Salam ibn Barjas Al-Abd-Al-Karim, exposant la Aqida des Musulmans en ce qui concerne les devoirs envers le dirigeant (l'Imam).
Comme à son habitude le Cheikh livre une épître concise et très pertinente, ponctuée de preuves et de citations importantes. Harakat en partie.
";https://www.sifatusafwa.com/fr/actes-blamables/aqidah-ahl-al-islam-fima-yajibu-li-al-imam-abdussalam-ibn-barjis.html
4;"Le livre des grands péchés écrit par le Cheikh Mouhammed ibn Abdel-Wahab. Utilisant la même méthode que les Imams qui l'ont précédé l'Imam cite pour chaque chapitre des versets puis des Hadiths.
Cette édition est vérifiée et les Hadiths sont authentifiés.
";https://www.sifatusafwa.com/fr/actes-blamables/kitab-al-kaba-ir-écrit-par-muhammad-ibn-abdelwahhab.html
5;"Livre d'Ibn al-Qaisarani, historien et savant du Hadith, sur le thème de as-Sama', l’écoute. Si celle-ci peut désigner l’écoute du Coran ou d'autres choses permises, son sens a glissé avec le temps sur les chants Soufi avec ou sans instruments, et autres types d'actes innovés ou interdits.
Ibn al-Qaysarani était Dhahirite dans le Fiqh, et ce faisant sa position sur le Sama' n'est pas forcément celle partagée par de ces confrères Muhaddith, il a notamment l'avis de la permission absolue du Duff.
Le Hadifh ibn Mandah, un de ses contemporains, a dit de lui: ""Il faisait partie des Huffadh, doté d'une bonne Aqidah...""
Édition vérifiée et annotée.
";https://www.sifatusafwa.com/fr/actes-blamables/kitab-as-sama-d-ibn-tahir-al-qaysarani-507h.html
6;"Ce livre regroupe 2 Risalah sur le thème de la critique des divertissements type jeux.
La premiere Risalah est écrite par l'imam Ibn Abi Dounia, intitulée Dham al-Malahy.
La seconde Risalah est écrite par l'imam al-Ajourry, intitulée Tahrim al-Nard wa ach-Chatranj.
Édition vérifiée, annotée et authentifiée.
";https://www.sifatusafwa.com/fr/actes-blamables/la-condamnation-des-divertissements-ibn-abi-dounia-al-ajourri.html
7;"Épitre de Cheikh Salih al-Fawzan sur un sujet sensible et très dangereux, se moquer de la religion d'Allah ou de ce qui la compose. Qu'Allah nous en préserve.
";https://www.sifatusafwa.com/fr/actes-blamables/la-moquerie-de-la-religion-cheikh-salih-al-fawzan.html
8;"Risalah du Cheikh Abd-As-Salam ibn Barjas Al-Abd-Al-Karim, sur le Hukm de se moquer des musulmans. Il cite les propos de plusieurs Imam et Savants. Il conclut par un poème de sa composition.
La Risalah a été lue et préfacée par Cheikh al-Uthaymin.
";https://www.sifatusafwa.com/fr/actes-blamables/le-jugement-de-se-moquer-des-croyants-abdussalam-ibn-barjis.html
9;"Voici le Livre des Grands Péchés de l'Imam Ibn al-Jawzi. Il regroupe 70 grands péchés.
Cette belle édition est vérifiée à partir d'un manuscrit complet qui remonte à Ibn al-Jawzi. Le texte est vérifié, les hadiths sont authentifiés, et le travail de Tahqiq est préfacé par le Cheikh Abdulqadir al-Arnaout.
";https://www.sifatusafwa.com/fr/actes-blamables/tadhkirah-ouli-al-basa-ir-fi-ma-rifah-al-kaba-ir-ibn-al-jawzi.html
10;"Ce livre se divise en sept chapitres :
Chapitre 1 : l’importance et les vertus de l’invocation
Chapitre 2 : les comportements à avoir lors de l’invocation et les causes de son exaucement
Chapitre 3 : les moments propices à l’exaucement des invocations
Chapitre 4 : ce qui empêche l’exaucement des invocations, et plusieurs choses dont celui qui invoque doit s’éloigner
Chapitre 5 : les invocations très recommandées
Chapitre 6 : sujets divers
Chapitre 7 : des propos de Cheikh al-Islam Ibn Taymiyyah et Ibn Rajab qui viennent clôturer le livre.
";https://www.sifatusafwa.com/fr/adhkar-et-dou-ah/adab-ad-dou-a-abdallah-as-sa-d.html
