;description;lien
0;erreur;https://www.sifatusafwa.com/ar/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9/?rewrite=accueil
1;"Very good condition: Book in perfect condition with the exception of a slight defect such as: stained page edges (fingerprints or slight moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages.
A book in very good condition has only one of these damages.
";https://www.sifatusafwa.com/ar/clearance-bargain/UZ-abu-bakr-as-siddiq-abd-as-sattar-al-sheikh.html
2;"Good condition: Book in good condition with one or more defects : stained page edges (fingerprints or light moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages, scratches or tears of less than 2cm on a corner or on the back cover, crease or fold mark due to transport, trace of wear and tear under the edge of the book (mark due to storage) 
A book in good condition has only one or two of these damages.
 
This book is new but in a damaged condition. You can find the listing of the product here.
";https://www.sifatusafwa.com/ar/clearance-bargain/al-iman-bi-al-qada-wa-al-qadarmuhammad-ibrahim-al-hamad.html
3;"Acceptable: Visibly damaged book, but overall appearance is good and perfectly readable. Possible defects include: large scratches or tears on the cover, moisture marks on the pages, defects on the front cover, cover may be bent or misaligned on one side.
A book in acceptable condition has only one or two of these damages.
 
This book is new but in a damaged condition. You can find the listing of the product here.
";https://www.sifatusafwa.com/ar/clearance-bargain/fath-al-quddus-as-salam-bi-shah-nawaqid-al-islam-ubayd-al-jabiri.html
4;"Very good condition: Book in perfect condition with the exception of a slight defect such as: stained page edges (fingerprints or slight moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages.
A book in very good condition has only one of these damages.
";https://www.sifatusafwa.com/ar/clearance-bargain/hidayah-al-murtab-poem-on-ayat-mutashabbih-as-sakhawi.html
5;"Very good condition: Book in perfect condition with the exception of a slight defect such as: stained page edges (fingerprints or slight moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages.
A book in very good condition has only one of these damages.
";https://www.sifatusafwa.com/ar/clearance-bargain/l-qawl-al-mufeed-fi-adillat-at-tawheed-al-wasaabee.html
6;"طبعة سعودية غير مشكولة
";https://www.sifatusafwa.com/ar/clearance-bargain/manhaj-as-salikin-wa-tawdih-al-fiqh-fi-ad-din-shaykh-as-sa-di.html
7;"Good condition: Book in good condition with one or more defects : stained page edges (fingerprints or light moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages, scratches or tears of less than 2cm on a corner or on the back cover, crease or fold mark due to transport, trace of wear and tear under the edge of the book (mark due to storage) 
A book in good condition has only one or two of these damages.
";https://www.sifatusafwa.com/ar/clearance-bargain/min-akhbar-as-salaf-as-alih.html
8;"Good condition: Book in good condition with one or more defects : stained page edges (fingerprints or light moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages, scratches or tears of less than 2cm on a corner or on the back cover, crease or fold mark due to transport, trace of wear and tear under the edge of the book (mark due to storage) 
A book in good condition has only one or two of these damages.
";https://www.sifatusafwa.com/ar/clearance-bargain/muhadarat-fi-al-aqeedah-wa-a-da-wah-70-lectures-by-al-fawzan.html
9;"نبذة يسيرة من حياة الإمام المحدث اليمني الشيخ مقبل بن هادي الوادعي
";https://www.sifatusafwa.com/ar/clearance-bargain/nubdha-yasira-min-hayat-al-allamah-al-wadi-iy-muhammad-sawmi-i.html
10;"Good condition: Book in good condition with one or more defects : stained page edges (fingerprints or light moisture stains), superficial defect on the cover (less than 1cm), sticker or trace of sticker, a few creased pages, scratches or tears of less than 2cm on a corner or on the back cover, crease or fold mark due to transport, trace of wear and tear under the edge of the book (mark due to storage) 
A book in good condition has only one or two of these damages.
 
This book is new but in a damaged condition. You can find the listing of the product here.
";https://www.sifatusafwa.com/ar/clearance-bargain/sufyan-ath-thawri-muhammad-matr-az-zahrani.html
11;" 
";https://www.sifatusafwa.com/ar/clearance-bargain/wasl-al-qurraa-al-bararah-bi-isnad-al-qira-at-al-arba-abbas-awd-allah.html
12;"مصحف مجزأ (30 جزءا) في حقيبة جلد فاخرة مع ألوان التجويد حجم (17 × 24 سم)
نسخة عالية الجودة
ا 15 سطرًا في الصفحة
قراءة حفص عن عاصم
الكتابة بالخط العثماني
";https://www.sifatusafwa.com/ar/mushaf-quran/briefcase-colour-tajweed-30-juz-in-individual-booklet-hafs.html
13;"مصحف التجويد (ألوان التجويد) -  كرتوني رمادي مذهب حراري 24*17 (مع فهرس)
عدد الصفحات: 604 صفحة ، 15 سطرًا في الصفحة
قراءة حفص عن عاصم
الكتابة بالخط العثماني
";https://www.sifatusafwa.com/ar/mushaf-quran/quran-with-tajweed-rules-hafs-gorgeous-silver-cover.html
14;"مصحف التجويد (ألوان التجويد) - (مع فهرس) - كرتوني أسماء الله
عدد الصفحات: 604 صفحة ، 15 سطرًا في الصفحة
قراءة حفص عن عاصم
الكتابة بالخط العثماني
";https://www.sifatusafwa.com/ar/mushaf-quran/quran-with-tajweed-rules-hafs-names-of-allah-cover.html
15;"Detailed academic research demonstrating the Aqida of the 4 Imams, going chapter by chapter and mentioning the direct and indirect sources demonstrating the sound Aqida of the 4 great Imams of Ahl as-Sunnah wa al-Jama'ah:
The reality of Tawhid and its types, as well as what nullifies it - this large first part covers the entire first volume
Faith in the Angels
Faith in the revealed Books - and this contains the uncreatedness of the Qur'an
Faith in the Prophets
Faith in the Last Day, Paradise and Hell
Faith in Fate and Predestination
The definition of Faith and what it encompasses
The Sahabas and their status
The Imamah
Superb Saudi edition in 2 large volumes.
";https://www.sifatusafwa.com/ar/أبحاث-و-رسائل-جامعية/taqrirat-al-aimmah-al-arba-a-li-aqidah-ahl-as-sunnah-2-volumes.html
16;"شرح خالد بن عبد الله الأزهري (905 هـ) على المقدمة الجزرية في التجويد
طبعة سورية قدم لها الشيخ القارئ محيي الدين الكردي
";https://www.sifatusafwa.com/ar/أحكام-التجويد/al-hawashi-al-azhariyyah-fi-hal-alfadh-al-jazariyyah-khalid-al-azhari-905h.html
17;"الشرح الوجيز على المقدمة الجزرية, شرح معاصر على متن الجزرية للإمام ابن الجزري في علم التجويد
طبعة مع التشكيل لأغلب نصوصها - طباعة بالحبر الأسود و الأحمر و الأخضر على ورق شمواه
";https://www.sifatusafwa.com/ar/أحكام-التجويد/ash-sharh-al-wajiz-ala-al-muqaddimah-al-jazariyyah-harakat.html
18;"تحتوي هذه الرسالة للشيخ أيمن رشدي سويد (متخصص في علم التجويد و القراءات و صاحب التجويد المصور) على أبحاث تجويدية
قاعدة أقوى السببين للقراء العشرةالنبر في تلاوة القرآن الكريمأحكام الراء للقراء العشرة إلا الأزرق عن ورشالوقف على الهمزة لهشام وحمزةحكم الوقف لحمزة على الهمزات: السواكن والمتحركات، المتوسطات بزائد
";https://www.sifatusafwa.com/ar/أحكام-التجويد/ib-hath-at-tajwidiyyah-dr-ayman-suwayd.html
19;"هذه رسالة للإمام أبي بكر ابن مهران (381 هـ) في المدات عند تلاوة القرآن
طبعة محققة بتحقيق د. أيمن رشدي سويد (متخصص في علم التجويد و القراءات و صاحب ""التجويد المصور"")
";https://www.sifatusafwa.com/ar/أحكام-التجويد/risalah-al-maddaat-al-imam-ibn-mihran-381h.html
20;"شرح المقدمة الجزرية - أ. د. غانم قدوري الحمد. شرح يجمع بين التراث الصوتي العربي القديم والدرس الصوتي الحديث
استفاد المؤلف من عشرات المؤلفات لأئمة متخصصين في علم التجويد و علم خط المصحف و علم العربية و غير ذلك فأخرج لنا هذا الشرح الجميل
";https://www.sifatusafwa.com/ar/أحكام-التجويد/sharh-al-muqaddimah-al-jazariyyah-mahad-al-imam-al-shatibi.html
21;"شرح الدكتور أيمن رشدي سويد (صاحب التجويد المصور و متخصص في علم التجويد و القراءات) على منظومة المقدمة فيما يجب على قاري القرآن أن يعلمه للإمام ابن الجزري (المقدمة الجزرية)
شرح رائع بطريقة حديثة باستخدام الألوان و الصور و الرسوم التعليمية التوضيحية لمخارج الحروف و غيرها
طبعة رائعة ملونة
 (QR code) يوجد في جميع أنحاء الكتاب رموز التي يمكن مسحها ضوئيًا لتتمكن من الوصول إلى مقاطع فيديو لمخارج الحروف أو قراءة أبيات المنظومة
";https://www.sifatusafwa.com/ar/أحكام-التجويد/sharh-mandhumah-muqaddimah-jazariyyah-shaykh-ayman-suwayd-2-vol.html
22;"شرحُ تُحفةِ الأطفالِ والغِلمانِ في تجويدِ القُرآن امتازَ هذا الشَّرحُ باعتمادِه على ما تضمَّنَه كتابُ (التجويدِ المصوَّرِ) للدكتورِ أيمنَ رشدي سُويد، وهو يَصلحُ أنْ يكونَ منْهجًا دراسيًّا للحلَقاتِ القرآنيةِ، لِامتيازِه بالدقَّةِ والمَنهجيَّةِ، فقدْ ضمَّنَه المؤلِّفُ تنبيهاتٍ تجويديَّةً، وفوائدَ ضبْطيَّةً، وملحوظاتٍ لُغويَّةً، وألحقَ كلَّ موضوعٍ منْ موضوعاتِه بتطبيقاتٍ وأسئلةٍ تقويميَّةٍ، متوخِّيًا وضوحَ الإشارةِ وقُربَ العبارةِ، إضافةً إلى ضَبطِ المَتنِ بالشَّكلِ ضبطًا كاملًا، وضبطِ الشَّـرحِ ضبطًا نَحْويًّا وافياً
قدم له الدكتور أيمن رشدي سويد (متخصص في علم التجويد و القراءات و صاحب التجويد المصور)
";https://www.sifatusafwa.com/ar/أحكام-التجويد/sharh-tuhfat-al-atfal-wal-ghilman-fi-tajwid-al-qur-an-ahmad-jadallah.html
23;"تيسير أحكام التجويد - المستوى الأول - بطريقة السؤال و الجواب لطلاب الحلقات القرآنية
مطبوع بالألوان - حجم (12*17 سم) - مع التشكيل لأغلب النصوص
";https://www.sifatusafwa.com/ar/أحكام-التجويد/tajweed-lessons-level-1-dr-yahya-al-ghawthani.html
24;"علم التجويد: أحكام نظرية وملاحظات تطبيقية - المستوى الثاني
مطبوع باللونين الأخضر و الأسود - حجم (17*24 سم) - مع التشكيل لبعض النصوص
";https://www.sifatusafwa.com/ar/أحكام-التجويد/tajweed-lessons-level-2-dr-yahya-al-ghawthani.html
25;"شرح الشيخ زكريا الأنصاري الشافعي (926 هـ) على المقدمة الجزرية في التجويد و سماه: الدقائق المحكمة
وهذه تعليقات المقرئ للقراءات العشر الكبرى و الصغرى الشيخ موفق محمود عيون و سماها: التعليقات المرضية على الدقائق المحكمة
طبعة سورية قدم لها الشيخ الفقيه الحنبلي عبد الرحمن بن أحمد الشامي
";https://www.sifatusafwa.com/ar/أحكام-التجويد/taliqat-mardiyah-ala-daqaiq-muhkamah-charh-al-jazariyah-imam-zakaria-al-ansari.html
