,lien,auteurs,date,domaine,prix,titre_fr
0,https://www.sifatusafwa.com/ar/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9/?rewrite=accueil,Auteur non disponible,,%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9,15.40 €,?rewrite=accueil
1,https://www.sifatusafwa.com/ar/clearance-bargain/UZ-abu-bakr-as-siddiq-abd-as-sattar-al-sheikh.html,Auteur non disponible,,clearance-bargain,20.18 €,UZ abu bakr as siddiq abd as sattar al sheikh
2,https://www.sifatusafwa.com/ar/clearance-bargain/al-iman-bi-al-qada-wa-al-qadarmuhammad-ibrahim-al-hamad.html,Auteur non disponible,,clearance-bargain,15.60 €,al iman bi al qada wa al qadarmuhammad ibrahim al hamad
3,https://www.sifatusafwa.com/ar/clearance-bargain/fath-al-quddus-as-salam-bi-shah-nawaqid-al-islam-ubayd-al-jabiri.html,Ubayd al-Jabiri,,clearance-bargain,2.50 €,fath al quddus as salam bi shah nawaqid al islam ubayd al jabiri
4,https://www.sifatusafwa.com/ar/clearance-bargain/hidayah-al-murtab-poem-on-ayat-mutashabbih-as-sakhawi.html,Auteur non disponible,,clearance-bargain,6.00 €,hidayah al murtab poem on ayat mutashabbih as sakhawi
5,https://www.sifatusafwa.com/ar/clearance-bargain/l-qawl-al-mufeed-fi-adillat-at-tawheed-al-wasaabee.html,Muhammad al-Wasabi ,1426,clearance-bargain,5.60 €,l qawl al mufeed fi adillat at tawheed al wasaabee
6,https://www.sifatusafwa.com/ar/clearance-bargain/manhaj-as-salikin-wa-tawdih-al-fiqh-fi-ad-din-shaykh-as-sa-di.html,Auteur non disponible,,clearance-bargain,5.75 €,manhaj as salikin wa tawdih al fiqh fi ad din shaykh as sa di
7,https://www.sifatusafwa.com/ar/clearance-bargain/min-akhbar-as-salaf-as-alih.html,Auteur non disponible,,clearance-bargain,15.75 €,min akhbar as salaf as alih
8,https://www.sifatusafwa.com/ar/clearance-bargain/muhadarat-fi-al-aqeedah-wa-a-da-wah-70-lectures-by-al-fawzan.html,Al-Fawzan,,clearance-bargain,48.30 €,muhadarat fi al aqeedah wa a da wah 70 lectures by al fawzan
9,https://www.sifatusafwa.com/ar/clearance-bargain/nubdha-yasira-min-hayat-al-allamah-al-wadi-iy-muhammad-sawmi-i.html,Auteur non disponible,,clearance-bargain,3.50 €,nubdha yasira min hayat al allamah al wadi iy muhammad sawmi i
10,https://www.sifatusafwa.com/ar/clearance-bargain/sufyan-ath-thawri-muhammad-matr-az-zahrani.html,Auteur non disponible,,clearance-bargain,3.22 €,sufyan ath thawri muhammad matr az zahrani
